Date;Open;High;Low;Close*;Adj Close**;Volume
29/11/2022;76.54;79.65;76.29;78.20;78.20;381,869
28/11/2022;75.93;77.84;73.60;77.24;77.24;405,033
25/11/2022;77.51;79.90;76.22;76.28;76.28;266,451
23/11/2022;81.08;81.95;76.83;77.94;77.94;379,145
22/11/2022;80.22;82.36;79.85;80.95;80.95;269,615
21/11/2022;80.30;80.30;75.08;79.73;79.73;475,104
18/11/2022;82.09;82.64;77.24;80.08;80.08;96,583
17/11/2022;85.22;85.45;81.40;81.64;81.64;138,476
16/11/2022;86.89;87.51;84.20;85.59;85.59;225,668
15/11/2022;85.25;88.68;84.06;86.92;86.92;331,709
14/11/2022;89.02;89.84;85.15;85.87;85.87;315,450
11/11/2022;86.27;90.10;86.18;88.96;88.96;301,664
10/11/2022;85.85;87.35;84.70;86.47;86.47;340,007
09/11/2022;88.57;89.24;85.50;85.83;85.83;388,301
08/11/2022;91.87;92.17;88.52;88.91;88.91;344,223
07/11/2022;91.00;93.74;90.40;91.79;91.79;322,419
04/11/2022;87.90;92.87;87.82;92.61;92.61;354,060
03/11/2022;89.35;89.67;87.60;88.17;88.17;239,816
02/11/2022;88.62;90.36;87.72;90.00;90.00;280,961
01/11/2022;86.43;89.45;85.92;88.37;88.37;274,321
31/10/2022;88.39;88.65;85.30;86.53;86.53;285,342
28/10/2022;88.67;88.76;87.08;87.90;87.90;263,404
27/10/2022;88.26;89.79;87.33;89.08;89.08;292,556
26/10/2022;85.07;88.41;84.14;87.91;87.91;287,182
25/10/2022;84.88;86.03;83.06;85.32;85.32;240,441
24/10/2022;85.24;85.92;82.63;84.58;84.58;250,726
21/10/2022;85.07;85.90;83.15;85.05;85.05;272,803
20/10/2022;85.94;88.17;85.22;85.98;85.98;338,344
19/10/2022;83.69;86.20;82.59;85.55;85.55;71,309
18/10/2022;85.70;86.51;82.09;82.82;82.82;97,304
17/10/2022;85.59;87.12;84.61;85.46;85.46;172,020
14/10/2022;89.27;89.73;85.20;85.61;85.61;237,026
13/10/2022;87.08;89.66;85.56;89.11;89.11;298,032
12/10/2022;88.67;90.07;86.28;87.27;87.27;332,271
11/10/2022;91.14;91.35;87.91;89.35;89.35;333,158
10/10/2022;93.48;93.64;90.54;91.13;91.13;289,508
07/10/2022;88.93;93.31;88.00;92.64;92.64;429,162
06/10/2022;88.08;89.07;87.04;88.45;88.45;235,296
05/10/2022;86.37;88.42;85.42;87.76;87.76;329,790
04/10/2022;83.22;86.98;83.22;86.52;86.52;302,549
03/10/2022;81.02;84.56;80.87;83.63;83.63;287,168
30/09/2022;81.74;82.56;79.14;79.49;79.49;253,154
29/09/2022;81.90;82.94;80.34;81.23;81.23;286,126
28/09/2022;78.08;82.34;76.55;82.15;82.15;324,678
27/09/2022;76.47;79.51;76.42;78.50;78.50;283,614
26/09/2022;79.23;80.31;76.25;76.71;76.71;280,927
23/09/2022;83.54;83.92;78.04;78.74;78.74;334,271
22/09/2022;83.07;86.00;82.40;83.49;83.49;303,492
21/09/2022;84.25;86.68;82.49;82.94;82.94;339,683
20/09/2022;85.61;86.45;83.52;84.45;84.45;279,813
19/09/2022;85.21;86.22;82.10;85.73;85.73;59,626
16/09/2022;85.16;86.59;84.27;85.11;85.11;87,829
15/09/2022;88.91;89.15;84.53;85.10;85.10;235,358
14/09/2022;87.94;90.19;86.18;88.48;88.48;335,381
13/09/2022;88.09;89.31;85.06;87.31;87.31;347,998
12/09/2022;86.25;89.10;85.16;87.78;87.78;275,104
09/09/2022;82.80;87.20;82.71;86.79;86.79;305,188
08/09/2022;81.91;84.25;81.20;83.54;83.54;342,763
07/09/2022;86.93;87.76;81.50;81.94;81.94;380,781
06/09/2022;86.84;90.39;86.18;86.88;86.88;420,255
05/09/2022;-;-;-;-;-;-
02/09/2022;86.56;89.66;86.35;86.87;86.87;277,533
01/09/2022;88.83;89.63;85.98;86.61;86.61;305,106
31/08/2022;92.31;92.73;88.27;89.55;89.55;344,147
30/08/2022;96.90;97.66;90.54;91.64;91.64;386,272
29/08/2022;92.96;97.37;92.29;97.01;97.01;283,463
26/08/2022;93.06;94.02;91.08;93.06;93.06;288,392
25/08/2022;95.35;95.76;92.29;92.52;92.52;279,877
24/08/2022;93.78;95.40;92.79;94.89;94.89;320,388
23/08/2022;90.55;94.22;90.42;93.74;93.74;285,607
22/08/2022;89.65;91.26;86.60;90.23;90.23;352,665
19/08/2022;90.39;92.09;88.38;90.77;90.77;58,714
18/08/2022;87.39;91.46;87.32;90.50;90.50;80,029
17/08/2022;87.10;89.16;85.88;88.11;88.11;230,346
16/08/2022;87.93;90.65;85.73;86.53;86.53;305,366
15/08/2022;91.94;92.10;86.82;89.41;89.41;275,443
12/08/2022;94.09;94.81;91.16;92.09;92.09;264,953
11/08/2022;91.55;95.05;91.24;94.34;94.34;341,234
10/08/2022;90.51;92.43;87.66;91.93;91.93;383,766
09/08/2022;90.69;92.65;89.05;90.50;90.50;347,045
08/08/2022;88.46;90.89;87.22;90.76;90.76;340,157
05/08/2022;88.06;90.76;87.01;89.01;89.01;350,016
04/08/2022;90.95;91.90;87.55;88.54;88.54;334,931
03/08/2022;93.83;96.57;90.38;90.66;90.66;395,099
02/08/2022;93.75;96.47;92.59;94.42;94.42;328,538
01/08/2022;98.46;98.65;92.42;93.89;93.89;365,293
29/07/2022;97.30;101.88;96.41;98.62;98.62;349,374
28/07/2022;98.17;99.84;96.04;96.42;96.42;318,403
27/07/2022;95.60;98.59;94.30;97.26;97.26;321,903
26/07/2022;96.33;99.00;94.76;94.98;94.98;310,043
25/07/2022;95.10;96.94;93.01;96.70;96.70;278,998
22/07/2022;96.51;97.95;94.23;94.70;94.70;307,568
21/07/2022;99.91;99.99;94.59;96.35;96.35;318,911
20/07/2022;103.60;104.39;101.51;102.26;102.26;315,620
19/07/2022;102.00;104.46;99.85;104.22;104.22;63,149
18/07/2022;97.27;102.80;95.85;102.60;102.60;84,669
15/07/2022;96.39;99.03;94.57;97.59;97.59;240,766
14/07/2022;96.57;97.00;90.56;95.78;95.78;387,528
13/07/2022;95.89;97.96;93.67;96.30;96.30;347,193
12/07/2022;103.46;103.49;95.35;95.84;95.84;398,552
11/07/2022;104.79;105.05;100.89;104.09;104.09;348,566
08/07/2022;102.22;105.24;101.51;104.79;104.79;327,461
07/07/2022;98.22;104.48;96.57;102.73;102.73;379,861
06/07/2022;100.36;102.14;95.10;98.53;98.53;444,106
05/07/2022;108.80;111.45;97.43;99.50;99.50;594,215
04/07/2022;-;-;-;-;-;-
01/07/2022;106.01;109.34;104.56;108.43;108.43;305,338
30/06/2022;109.70;110.45;105.10;105.76;105.76;362,890
29/06/2022;111.86;114.05;109.22;109.78;109.78;322,060
28/06/2022;110.18;112.22;109.62;111.76;111.76;306,748
27/06/2022;107.22;110.54;105.60;109.57;109.57;282,914
24/06/2022;103.99;108.58;103.64;107.62;107.62;321,591
23/06/2022;104.42;107.05;102.32;104.27;104.27;346,362
22/06/2022;109.54;109.76;101.53;106.19;106.19;432,724
21/06/2022;110.58;112.47;108.72;110.65;110.65;427,262
20/06/2022;110.58;110.95;108.72;110.27;110.27;103,149
17/06/2022;117.08;118.97;108.25;109.56;109.56;103,149
16/06/2022;115.98;118.08;112.31;117.59;117.59;162,543
15/06/2022;119.07;119.61;114.60;115.31;115.31;301,750
14/06/2022;121.09;123.68;116.62;118.93;118.93;366,320
13/06/2022;120.19;122.25;117.47;120.93;120.93;372,403
10/06/2022;121.46;122.75;118.33;120.67;120.67;352,906
09/06/2022;122.43;122.72;120.79;121.51;121.51;293,295
08/06/2022;119.79;123.18;119.30;122.11;122.11;340,591
07/06/2022;119.10;120.36;117.14;119.41;119.41;341,694
06/06/2022;120.82;120.99;117.63;118.50;118.50;246,825
03/06/2022;117.55;120.46;115.23;118.87;118.87;240,831
02/06/2022;114.80;117.77;111.20;116.87;116.87;327,600
01/06/2022;115.40;117.87;114.58;115.26;115.26;290,530
31/05/2022;114.96;119.98;114.15;114.67;114.67;440,796
30/05/2022;-;-;-;-;-;-
27/05/2022;114.20;115.30;112.85;115.07;115.07;217,281
26/05/2022;110.69;114.83;110.27;114.09;114.09;234,752
25/05/2022;110.39;111.68;109.23;110.33;110.33;191,370
24/05/2022;110.41;111.43;108.61;109.77;109.77;224,794
23/05/2022;110.56;111.96;109.15;110.29;110.29;215,623
20/05/2022;111.45;114.04;110.85;113.23;113.23;229,930
19/05/2022;109.09;112.62;105.13;112.21;112.21;68,511
18/05/2022;113.66;115.42;108.46;109.59;109.59;103,669
17/05/2022;113.87;115.56;111.75;112.40;112.40;252,630
16/05/2022;110.98;114.90;108.11;114.20;114.20;289,127
13/05/2022;106.65;110.64;106.29;110.49;110.49;240,989
12/05/2022;105.63;107.37;102.66;106.13;106.13;323,547
11/05/2022;99.00;106.44;98.20;105.71;105.71;382,701
10/05/2022;102.65;104.16;98.86;99.76;99.76;389,750
09/05/2022;110.43;110.49;102.13;103.09;103.09;368,183
06/05/2022;108.70;111.18;107.24;109.77;109.77;294,278
05/05/2022;107.58;111.37;106.45;108.26;108.26;286,916
04/05/2022;103.50;108.61;102.95;107.81;107.81;272,909
03/05/2022;105.08;105.80;102.10;102.41;102.41;239,266
02/05/2022;104.00;105.94;100.28;105.17;105.17;261,878
29/04/2022;105.17;107.99;103.78;104.69;104.69;294,386
28/04/2022;102.11;105.68;100.13;105.36;105.36;312,064
27/04/2022;101.76;102.99;99.80;102.02;102.02;278,781
26/04/2022;98.64;102.78;97.06;101.70;101.70;351,850
25/04/2022;101.38;101.55;95.28;98.54;98.54;328,153
22/04/2022;104.07;104.22;101.06;102.07;102.07;246,116
21/04/2022;102.50;105.42;102.01;103.79;103.79;280,321
20/04/2022;103.05;104.16;100.70;102.75;102.75;299,028
19/04/2022;107.75;108.92;102.10;102.56;102.56;71,792
18/04/2022;107.03;109.81;106.00;108.21;108.21;68,489
14/04/2022;104.20;107.64;102.12;106.95;106.95;244,952
13/04/2022;100.91;104.47;99.87;104.25;104.25;312,502
12/04/2022;95.17;101.35;94.84;100.60;100.60;329,037
11/04/2022;98.40;98.52;92.93;94.29;94.29;315,873
08/04/2022;97.17;98.76;95.29;98.26;98.26;310,082
07/04/2022;97.16;98.82;93.81;96.03;96.03;367,318
06/04/2022;101.24;104.02;95.73;96.23;96.23;366,036
05/04/2022;103.66;105.59;99.88;101.96;101.96;280,283
04/04/2022;98.95;103.94;98.05;103.28;103.28;288,131
01/04/2022;101.23;101.75;97.78;99.27;99.27;324,777
31/03/2022;107.45;107.80;99.66;100.28;100.28;450,845
30/03/2022;105.24;108.75;104.55;107.82;107.82;284,544
29/03/2022;103.47;107.84;98.44;104.24;104.24;387,200
28/03/2022;112.92;112.93;102.83;105.96;105.96;372,251
25/03/2022;111.75;114.12;108.68;113.90;113.90;320,304
24/03/2022;114.47;116.64;110.61;112.34;112.34;307,238
23/03/2022;108.85;115.40;108.38;114.93;114.93;289,182
22/03/2022;112.90;115.01;109.30;111.76;111.76;318,629
21/03/2022;105.13;112.69;104.08;112.12;112.12;77,217
18/03/2022;103.62;106.28;102.30;104.70;104.70;74,247
17/03/2022;95.34;104.24;94.85;102.98;102.98;210,763
16/03/2022;95.23;99.22;94.07;95.04;95.04;293,947
15/03/2022;102.28;102.58;93.53;96.44;96.44;401,690
14/03/2022;109.42;109.72;99.76;103.01;103.01;344,184
11/03/2022;105.99;110.29;104.48;109.33;109.33;368,194
10/03/2022;110.41;114.88;105.53;106.02;106.02;437,924
09/03/2022;124.66;126.84;103.63;108.70;108.70;594,773
08/03/2022;120.67;129.44;117.07;123.70;123.70;583,106
07/03/2022;121.33;130.50;115.54;119.40;119.40;576,022
04/03/2022;107.96;116.02;107.25;115.68;115.68;493,875
03/03/2022;111.33;116.57;106.43;107.67;107.67;592,031
02/03/2022;107.12;112.51;105.18;110.60;110.60;651,853
01/03/2022;96.09;106.78;95.32;103.41;103.41;698,814
28/02/2022;94.99;99.10;94.43;95.72;95.72;490,796
25/02/2022;93.32;95.64;90.06;91.59;91.59;523,793
24/02/2022;92.52;100.54;91.45;92.81;92.81;872,244
23/02/2022;91.74;93.90;90.64;92.10;92.10;440,574
